example_id,customer_message,generated_response,human_groundedness,human_relevance,human_helpfulness,human_overall,human_notes
g0002,"@SpotifyCares I just wanna how may i do to add a buttom or link to my playlist. So, I attach a screenshot to let you see what i'm talking about, thank you. https://t.co/tRCrEXh0oS",Hi! Try logging out and back in to resync your library. /SC,,,,,
g0007,"@SpotifyCares Thanks for response! The app says that music is playing, but no sound comes out. I have to restart to make it work again.","Hi! Try restarting Spotify and checking your connection. If it keeps happening, reinstall the app. /SC",,,,,
g0008,@SpotifyCares Version 8.4.29.289 on Android Oreo 8.0.0,Hi! Try disconnecting and reconnecting the device in Spotify Settings > Devices. /SC,,,,,
g0009,"@spotifycares why do this always appear ""Oops, seems the credit on your prepaid card is insufficient. Please try again or use another payment method."" Even if I have PhP 130 balance on my SIM, I'm using mobile payment. Please respond immediately, thanks!",Hi! Review your billing history at spotify.com/account. For charge disputes please DM us. /SC,,,,,
g0012,@SpotifyCares so I have a premium student account and Hulu is saying it's having trouble authorizing my Spotify account?,Hi! Check your subscription status at spotify.com/account. /SC,,,,,
g0018,"@117153 hi i have sign up under premium but cant download anything, it require me to re-do it again pls help to check :)",Hi! Check your subscription status at spotify.com/account. /SC,,,,,
g0021,"@SpotifyCares have been using the free version for a while with no problems, soon as I pay for family premium Spotify stops every couple of songs. What's going on?",Hey Chris! That's not cool. Can you tell us when this started happening? Was it after an app update? We'll see what we can suggest /CH,,,,,
g0023,"@SpotifyCares Only 70% of my library was deleted this time so we're making progress, but it's still an issue. https://t.co/1ROB3b3f5E",Hi! Try logging out and back in to resync your library. /SC,,,,,
g0024,@115888 no #Fridayonelmstreet tracks on rap cavier playlist? 🤦🏾‍♂️ it cant be all trash trap music.,Hi! Try logging out and back in to resync your library. /SC,,,,,
g0025,"@SpotifyCares Even remotely relate. Your alogrthims are either screwed, or you assume jazz/blues/folk is related to country. Insulting just thinking about it","Don't worry, we'll be able to help out in case that happens. We'll keep an eye out for your update 🙂 /MU",,,,,
g0027,@115888 @SpotifyCares Can we get an update on this Spotiamb 0.2.1 thing that keeps taking over streams? It is really irritating to have your music pausing several times an hour. It’s also a little concerning that you guys don’t seem to have any input on this.,Hi! Check out the official idea and add your vote to let our devs know it's something you'd like to see: https://t.co/SEK4E4gi22 /RA,,,,,
g0029,@117153 I have just paid for the premium but still gives me the free subscription,Hi! Review your billing history at spotify.com/account. For charge disputes please DM us. /SC,,,,,
g0032,@SpotifyCares how do I view the full featured artists instead of seeing the dots? When the song is playing it doesn’t even list the features https://t.co/cNkHFMl1KV,"Hi! Try restarting Spotify and checking your connection. If it keeps happening, reinstall the app. /SC",,,,,
g0036,"@SpotifyCares pls help me, I just purchased premium, but the Behind Lyrics doesn't appear when I play one of the songs. I thought its because the device I have, Android. Bcs I logged in into iPhone, the Behind Lyrics appear. Thanks.",Hi! Check your subscription status at spotify.com/account. /SC,,,,,
g0040,"@SpotifyCares where's Bonzo goes to Bitburg by Ramones? In fact, the whole album, Animal boy, is not available. Wtf.","Hey Scotty, what platform/device are you using the app on? Give a reinstall a go: http://t.co/XlUAjB8pdg /C",,,,,
g0041,Someone hacked my Spotify and deleted all of my playlists... why would you do that to a person,We understand this is urgent. Please DM us with your account details and a specialist will assist you right away. /SC,,,,,
g0050,"@SpotifyCares I need help resetting my password. I think someone hacked my account and changed it, but I was still able to log in through Facebook",We understand this is urgent. Please DM us with your account details and a specialist will assist you right away. /SC,,,,,
g0051,@3072  @115888  Android version on Pixel 2 XL. Update cuts off bottom bar titles. https://t.co/mEURnx0wiI,Hi! Try disconnecting and reconnecting the device in Spotify Settings > Devices. /SC,,,,,
g0056,@115888 stop playing your suggested music in the middle of my playlists. I want to listen to my music not whatever you come up with. For everyone one song I have in my playlist I hear three reccomnended ones that I can’t skip bc I can’t afford premium. Sick of it,Hi! Try logging out and back in to resync your library. /SC,,,,,
g0057,"@SpotifyCares Why show that my playlist has followers if I can't see who the followers are? Just remove the follower count, it doesn't matter and it makes it pointless. Obviously there's some common musical interests but there's no connect so doesn't matter.",Hi! Try logging out and back in to resync your library. /SC,,,,,
g0058,"Hey @SpotifyCares, I got this message. Uninstalled, re-downloaded and re-installed and it happened it again. https://t.co/RBRdDUf2qf","Hi! Toggle offline mode off then on, and re-download your tracks. /SC",,,,,
g0059,How the heck do you listen to music when @115888 is down😫,Hi James! Everything looks good on our end at the moment. Can you try again using a different browser or an incognito window? /MG,,,,,
g0060,Seriously pissed off @115888 for blocking(suddenly) THE BEST song on @28787 live CD. WTF. #PremiumGetsYaNowhere,"Hi! Try restarting Spotify and checking your connection. If it keeps happening, reinstall the app. /SC",,,,,
g0063,@SpotifyCares hello. My app won't connect to Sonos. Tried reauthorizing the account and reinstalling the app.,Hi! Try disconnecting and reconnecting the device in Spotify Settings > Devices. /SC,,,,,
