golden_id,customer_msg,intent,escalation_label,platform,has_escalation_signal,has_resolution,response_type,brand_response,agent_ts,convo_id
g0001,"@116380 can you please add General Public, most especially their song Tenderness, to SpotifyAU? My 80s mix isn’t complete without it 🤧",playback_error,AUTO_HANDLE,unknown,False,True,troubleshooting,@663311 Hi there. We'd love to have them on Spotify! Hopefully we will in the future. Check this out: https://t.co/MEjmIRL2eB /GT,2017-11-26T15:40:36+00:00,2282054
g0002,"@SpotifyCares I just wanna how may i do to add a buttom or link to my playlist. So, I attach a screenshot to let you see what i'm talking about, thank you. https://t.co/tRCrEXh0oS",playlist_library,AUTO_HANDLE,unknown,False,True,troubleshooting,"@299176 Hey Carlos! The cavalry's here. Just to check, are you looking into embedding your Spotify playlist on your website or blog? /KB",2017-11-30T01:55:05+00:00,2972943
g0003,"@SpotifyCares cant login, says country code doesnt match account. But its the same. In Canada,",account_login,ESCALATE,unknown,False,False,link,@466176 Hey Frank! Help's here. Can you DM us your account's email address? We'll take a look backstage /MG https://t.co/ldFdZRiNAt,2017-11-26T02:15:36+00:00,1490593
g0004,@115888 it’s almost 2018.  When will you “allow” an Apple Watch app?  Its like you WANT us to quit and go to Apple Music. Pls get with it.,playback_error,AUTO_HANDLE,unknown,False,True,troubleshooting,@724802 Hey there! Check out the official idea and add your vote to let our devs know it's something you'd like to see: https://t.co/SEK4E4gi22 /CG,2017-11-25T23:18:24+00:00,2551348
g0005,"@SpotifyCares 
""Click to install new update""..... *spotify closes*...... 
now won't open or install.  
Not even after complete removal &amp; attempted web download. 
Suggestions? 
Windows 7 app https://t.co/tlqorQWLP1",offline_download,AUTO_HANDLE,web,False,True,troubleshooting,"@235099 Hey Christopher! Just to check, have you tried the steps here: https://t.co/PDA2aKzC6Q? They should help with this. Let us know if not /CO",2017-12-01T20:02:49+00:00,502668
g0006,"@115888 Love you guys, but did you really have to undownload all my music randomly? And then immediately hit me with an ad asking me to renew for a year haha? Bad timing on your part.",playlist_library,AUTO_HANDLE,unknown,False,True,troubleshooting,@237679 Hey Eddie. Sorry to hear that. Check out the steps under “Downloads unexpectedly removed” at https://t.co/EidIERWgLX. They should help with this /QI,2017-12-01T23:01:45+00:00,511834
g0007,"@SpotifyCares Thanks for response! The app says that music is playing, but no sound comes out. I have to restart to make it work again.",playback_error,AUTO_HANDLE,unknown,False,True,troubleshooting,@135367 Gotcha. Can you try reinstalling the app using the steps here: https://t.co/PDA2aKzC6Q? Let us know how it plays out /LM,2017-11-30T15:11:11+00:00,89537
g0008,@SpotifyCares Version 8.4.29.289 on Android Oreo 8.0.0,device_platform,AUTO_HANDLE,android,False,True,troubleshooting,"@138951 Got it. Can you try to log out of your account &gt; restart your device &gt; and log back in to see if it helps? If you can reply with the exact make and model of your device, that'd be great /HR",2017-11-30T19:56:26+00:00,104106
g0009,"@spotifycares why do this always appear ""Oops, seems the credit on your prepaid card is insufficient. Please try again or use another payment method."" Even if I have PhP 130 balance on my SIM, I'm using mobile payment. Please respond immediately, thanks!",billing_charge,AUTO_HANDLE,unknown,False,True,troubleshooting,"@791704 Hi Marc! Don't worry, we'll sort this out. Could you send us a DM with your account's email address? We'll check under the hood /NJ https://t.co/ldFdZRiNAt",2017-11-27T18:00:35+00:00,2846506
g0010,"My first full month of @115888 premium and all my downloaded music has gone.

You're not selling this well so far.",premium_subscription,AUTO_HANDLE,unknown,False,True,troubleshooting,"@811289 Hey Kevin, sorry to hear that! Check out the steps under “Downloads unexpectedly removed” at https://t.co/EidIERWgLX. They should help with this /PL",2017-11-29T09:47:24+00:00,2934012
g0011,.@SpotifyCares Please could you help? None of my music will play and it’s set to “offline” I listen to my music on the go all the time and have never had this problem. It’s just stopped becoming available. Has my music just...un-downloaded itself? 😞,offline_download,AUTO_HANDLE,unknown,False,True,troubleshooting,"@800445 Hey Kaysha, sorry to hear that. Check out the steps under “Downloads unexpectedly removed” at https://t.co/38J7tFlIBF. They should help with this. Let us know if there's anything else /AY",2017-11-28T11:58:46+00:00,2886010
g0012,@SpotifyCares so I have a premium student account and Hulu is saying it's having trouble authorizing my Spotify account?,premium_subscription,AUTO_HANDLE,unknown,False,False,link,@242765 Hey Sarah! Can you DM us your account's email address or username along with a screenshot of the exact error message? We'll take a look backstage /KM https://t.co/ldFdZR1cbT,2017-12-02T09:43:58+00:00,530126
g0013,"@SpotifyCares No streaming with Sonos possible, are you aware?",device_platform,AUTO_HANDLE,sonos,False,False,other,"@139565 Hi there, help's here! We're looking into this with Sonos at the moment. We'll have it back up and running as soon as we can. Let us know if you need anything else /AV",2017-11-30T18:37:19+00:00,106344
g0014,@SpotifyCares From here it the songs never changes after pressing play all or it will restart the song when im in game. What can be done about this. I can't be more clear than this. https://t.co/HurYjuUd0M,playback_error,AUTO_HANDLE,unknown,False,True,troubleshooting,@417471 Got it. Can you try the troubleshooting steps that are on this link: https://t.co/5ROV3Uy9he? Keep us posted /SJ,2017-11-26T18:44:31+00:00,1270540
g0015,"@126761 But unfortunately it doesn't work for me. It says ""Sorry, couldn't find that"". Maybe it's not available worldwide. please could you fix it? I wanna listen to this interview",content_unavailable,AUTO_HANDLE,unknown,False,False,other,"@243843 Hey there! There might be some restrictions based on your current location, but not your Spotify account’s country. No worries, your feedback matters, and we'll have this passed on to the right folks. Let us know if you have more questions 🙂 /MS",2017-12-02T12:26:10+00:00,534616
g0016,@SpotifyCares I was listening to a particular mix already established and then all of a sudden it disappeared. Super frustrating.,playlist_library,AUTO_HANDLE,unknown,False,False,other,"@795909 Sorry to hear this. Currently, there’s no way to retrieve previous mixes. Be sure to save your favorite tracks. If there's anything else that we can help you with, just give us a shout /CH",2017-11-28T04:17:18+00:00,2865506
g0017,@SpotifyCares So i was updating my iPhone when you responded and I guess that’s what it was. It was 1 version behind. I am so sorry for wasting your time!!,device_platform,AUTO_HANDLE,iphone,False,False,link,@812999 No worries! Just give us a shout if the problem persists. We're... https://t.co/zOXI69QSqg /PB,2017-11-29T14:44:00+00:00,2942696
g0018,"@117153 hi i have sign up under premium but cant download anything, it require me to re-do it again pls help to check :)",premium_subscription,AUTO_HANDLE,unknown,False,False,link,@258104 Hey there! Can you fire over your account's email address or username via DM? We'll see what we can suggest /RC https://t.co/ldFdZRiNAt,2017-12-03T14:47:51+00:00,585108
g0019,"@117153 Hi there. I'm being charged for Premium Spotify, but my account is not showing anything so i can't cancel. I tried my other emails and they're not showing any Spotify associated with them. My account is __email__",billing_charge,ESCALATE,unknown,False,False,link,"@475400 Hey Fran! Help's here. For security reasons, we'd suggest deleting the tweet that contains your email address. Could you send us a DM instead? We'll be keeping an eye out for it /RA https://t.co/ldFdZRiNAt",2017-11-26T02:50:50+00:00,1532724
g0020,@SpotifyCares I updated my payment method and it took the $4.99 out of my bank account but my premium still isn't working..,billing_charge,AUTO_HANDLE,unknown,False,True,troubleshooting,"@803982 Hey there, help's here! Could you DM us your account's username and email address? We'll check it out /DQ https://t.co/ldFdZRiNAt",2017-11-28T18:33:50+00:00,2902809
g0021,"@SpotifyCares have been using the free version for a while with no problems, soon as I pay for family premium Spotify stops every couple of songs. What's going on?",premium_subscription,AUTO_HANDLE,unknown,False,True,troubleshooting,"@547145 Hey there! Can you let us know your device, operating system, and Spotify version? We'll check it out /RC",2017-11-26T07:02:25+00:00,1822605
g0022,So @115888 is a little broken at the moment but you can get our record on @115948 or @118721 too! https://t.co/eoWnHPpj9n,app_crash_bug,AUTO_HANDLE,unknown,False,False,other,"@808383 Hi there, thanks for bearing with us! We had a little hiccup earlier, but everything should be running just fine now /JS",2017-11-29T01:03:18+00:00,2920803
g0023,"@SpotifyCares Only 70% of my library was deleted this time so we're making progress, but it's still an issue. https://t.co/1ROB3b3f5E",playlist_library,AUTO_HANDLE,unknown,False,True,troubleshooting,"@222234 Hey Anthony, sorry to hear that! Check out the steps under “Downloads unexpectedly removed” at https://t.co/EidIERWgLX. They should help with this /LO",2017-11-30T22:13:10+00:00,452097
g0024,@115888 no #Fridayonelmstreet tracks on rap cavier playlist? 🤦🏾‍♂️ it cant be all trash trap music.,playlist_library,AUTO_HANDLE,unknown,False,True,troubleshooting,@786591 Hey. Can you send us the Playlist Link? Just tap the three dots &gt; Share &gt; Copy Link. We'll check things out /AY,2017-11-27T08:18:21+00:00,2822725
g0025,"@SpotifyCares Even remotely relate. Your alogrthims are either screwed, or you assume jazz/blues/folk is related to country. Insulting just thinking about it",content_unavailable,AUTO_HANDLE,unknown,False,True,troubleshooting,@147607 We're sorry you feel this way. We’re always testing things in order to improve and your inputs helps us a lot. Check out Daily Mix and Release Radar in the meantime. Let us know if you need help with anything else 🙂 /BP,2017-11-25T03:08:58+00:00,140093
g0026,"Hi, @115888 gentlemen it's been 2 weeks since the premiere of the #reputation and know, when will be put this magnificent art of music in its platform had understood that they were in denial with @118062 me as a premium user I have the right to know #Swifties",premium_subscription,AUTO_HANDLE,unknown,False,True,troubleshooting,"@417474 Hey Brandon! We’ll have it available to you as soon as it’s available to us. For now, check out the singles: https://t.co/3h0TnPWP0c /JC",2017-11-25T12:00:29+00:00,1270550
g0027,@115888 @SpotifyCares Can we get an update on this Spotiamb 0.2.1 thing that keeps taking over streams? It is really irritating to have your music pausing several times an hour. It’s also a little concerning that you guys don’t seem to have any input on this.,playback_error,AUTO_HANDLE,unknown,False,True,troubleshooting,"@807280 Hey, we’re sorry to hear that! Check out https://t.co/QHn3ok8y2n for what to do next /RB",2017-11-28T23:52:21+00:00,2916564
g0028,@SpotifyCares If I have a sub that ends in a month but i join my households fam plan do i still get charged for my last month of my previous subscription???,billing_charge,AUTO_HANDLE,unknown,False,True,troubleshooting,@223162 Hi there! Can you DM us your account's username and email address? We'll check it out and see what we can suggest /WW https://t.co/ldFdZRiNAt,2017-11-30T23:40:23+00:00,455639
g0029,@117153 I have just paid for the premium but still gives me the free subscription,billing_charge,AUTO_HANDLE,unknown,False,True,troubleshooting,@795557 Hey Jelly! Can you DM us your account's email address? We'll check things out /KC https://t.co/ldFdZRiNAt,2017-11-27T23:30:35+00:00,2864081
