id,customer_message,conversation_context,proposed_intent,human_intent,proposed_escalation,human_escalation,notes
g0004,@115888 it’s almost 2018.  When will you “allow” an Apple Watch app?  Its like you WANT us to quit and go to Apple Music. Pls get with it.,@724802 Hey there! Check out the official idea and add your vote to let our devs know it's something you'd like to see: https://t.co/SEK4E4gi22 /CG,device_platform,device_platform,AUTO_HANDLE,AUTO_HANDLE,Apple Watch platform support/feature request
g0005,"@SpotifyCares 
""Click to install new update""..... *spotify closes*...... 
now won't open or install.  
Not even after complete removal &amp; attempted web download. 
Suggestions? 
Windows 7 app https://t.co/tlqorQWLP1","@235099 Hey Christopher! Just to check, have you tried the steps here: https://t.co/PDA2aKzC6Q? They should help with this. Let us know if not /CO",app_crash_bug,app_crash_bug,AUTO_HANDLE,AUTO_HANDLE,Spotify closes and will not open/install on Windows 7
g0021,"@SpotifyCares have been using the free version for a while with no problems, soon as I pay for family premium Spotify stops every couple of songs. What's going on?","@547145 Hey there! Can you let us know your device, operating system, and Spotify version? We'll check it out /RC",billing_charge,playback_error,AUTO_HANDLE,AUTO_HANDLE,Playback stops every couple of songs; premium context is secondary
g0035,Someone hacked my Spotify account of 5+ years and replaced all my saved songs with Dutch grime and xxxtentacion songs...uhmmm help? @115888 @SpotifyCares,"@796170 Hey Denis, that's not cool! Can you DM us your account's email address or username? We'll take a look backstage /MT https://t.co/ldFdZRiNAt",account_login,account_login,ESCALATE,ESCALATE,Hacked account; unauthorized playlist changes
g0041,Someone hacked my Spotify and deleted all of my playlists... why would you do that to a person,"@763452 Hey, we’re sorry to hear that. Check out https://t.co/QHn3ok8y2n for what to do next. If there's anything else, feel to send a tweet our way /YM",account_login,account_login,ESCALATE,ESCALATE,Hacked account; playlists deleted
g0045,@SpotifyCares foreign speakers are showing up on my list of Available Devices on my Android Phone. Looked into it (https://t.co/ZKYj4SRsNb) and seems a common hack people do though not clear how to fix it. Please help,"@255063 Hi there. Thanks for bringing this up. To start, can you DM us your username or email address so we can pull up your account? /JU https://t.co/ldFdZRiNAt",account_login,account_login,ESCALATE,ESCALATE,Suspected account compromise/unrecognized devices
g0081,@115888 I don’t pay every month so you can restrict my music listening. Am I supposed to bring my Mac in the car for music? Nah fam. Get mobile Spotify working again. https://t.co/E3kJlTxeYw,@807295 Hey Devin! Everything should be running smoothly now. Let us know if this is still happening /GS,billing_charge,playback_error,AUTO_HANDLE,AUTO_HANDLE,Music listening is being restricted/stopping; billing is secondary
g0085,@SpotifyCares someone has hacked my spotify account. I refuse to pay for someone else to listen to music. It is very unprofessional that you do not provide a contact number. I had to make a Twitter account just to complain. Please contact me immediately and fix the problem.,@252233 Hi! We've just replied to your DM. Check your inbox /AP,billing_charge,account_login,ESCALATE,ESCALATE,Hacked account; possible unauthorized subscription usage
g0086,"@SpotifyCares It’s iOS, iPhone 6s. v8.4.28.1104. I’m sure it’s working as intended but just a comment about how the queue works :)","@250111 Got it. Can you log out, restart your iPhone, then log back in before checking one more time? Let us know how it goes /JU",playlist_library,playlist_library,AUTO_HANDLE,AUTO_HANDLE,Queue behavior feedback
g0087,@115888 why is it that when I click to watch the ad to get 30 minutes of ad-free music do I only get 18 and a half? Your ads tell me that I will get 30 minutes. If thats not the case then advertise for 18 and a half minutes of ad-free music instead of 30,"@232848 Hey there, that doesn't sound good! Did the app crash at any point during the 30 minutes? That can cause the ad-free time to reset. Let us know /TB",device_platform,premium_subscription,AUTO_HANDLE,AUTO_HANDLE,Complaint about ad-supported 30-minute ad-free benefit
g0095,"@SpotifyCares No it did nothing 😥 I also tried uninstalling, wiping the cache of the phone and reinstalling but it still crashes","@232854 Hmm, that's odd. Can you DM us your account's username and email address? Also, does the app crash any time other than when you try to create a new playlist? Let us know and we'll do some digging /MT https://t.co/ldFdZRiNAt",app_crash_bug,app_crash_bug,AUTO_HANDLE,ESCALATE,Persistent crash despite reinstall/cache clearing; support requests account investigation
g0097,"@SpotifyCares I mean, yeah, it usually does. The problem is that I'm trying to listen to a continuous playlist or album uninterrupted. It fixes the error but doesn't solve the problem.",@237284 Thanks for the heads-up. Could you try restarting your WiFi router to see if you can play your tracks and playlists smoothly? We'd also suggest trying different connections /MT,playlist_library,playback_error,AUTO_HANDLE,AUTO_HANDLE,Tracks/playlist playback interrupted
g0099,"@SpotifyCares I think my account has been hacked, someone keeps playing music using Spotiamb 0.2.1 as a device - what do I do to resolve?","@131451 Hey, we’re sorry to hear that. Check out https://t.co/iVpg60w61i for what to do next /JN",account_login,account_login,ESCALATE,ESCALATE,Suspected hacked account and unauthorized device playback
g0101,"@SpotifyCares iPad mini2, iPhone SE, both iOS 11.1.2 - but this issue is dated back before iOS 11 (hoped the updates will do something about it...) and it occures on both saved and streamed songs (either on WiFi or mobile). Desktop is fine.","@229357 Got it. Just to check, do the songs stop mid-track? Could you also let us know if Autoplay is enabled on your desktop: https://t.co/kiXUjgr1xh? /LS",device_platform,playback_error,AUTO_HANDLE,AUTO_HANDLE,Songs stop mid-track on iOS/mobile
g0107,@115888 my Spotify keeps jumping to play Drill Beats. Has my account been hacked?,@254901 Hey Kieren! Sorry for the delay. Can you DM us your account's email address? We'll take a look under the hood /KB https://t.co/ldFdZRiNAt,account_login,account_login,ESCALATE,ESCALATE,Suspected hacked account/unauthorized playback
g0119,@SpotifyCares my Spotify premium got hacked — got a notification that email address was changed. Sent u guys an email and u didn’t reply. Please rectify - I don’t want to cancel my subscription,@306497 Hey Paul! That doesn't sound right. Can you DM us your account's email address or username? We'll take a look backstage /KM https://t.co/ldFdZRiNAt,account_login,account_login,ESCALATE,ESCALATE,Account email changed after hack; cannot access account
g0135,"@SpotifyCares I have the family plan and a hacker has hacked me twice this past month. I changed my password, but this time they changed my log in info. I cant do a thing. I NEED HELP   https://t.co/8t2QYN8LtT   for id proof","@236874 Hey Nolan, that doesn't sound right! Can you DM us your account's username/email address? We'll check things backstage /JP https://t.co/ldFdZRiNAt",billing_charge,account_login,ESCALATE,ESCALATE,Hacker changed login information; account inaccessible
g0140,@SpotifyCares I wanted you to know that I don’t pay for music.,@132184 No worries. You could still enjoy Spotify while on our Free service. More info here: https://t.co/DDxx570cXi. Hope this helps /MU,billing_charge,premium_subscription,AUTO_HANDLE,AUTO_HANDLE,Question/information about Free vs paid service
g0149,"@115888 not that it wasnt my own damn fault but this is the 5th time this semester ive undownloaded my whole saved songs list accidentally... some kind of prompt along the lines of ""hey you sure you wanna delete all 967 songs rn?"" would be appreciated🙃",@723465 Hey there. We're sorry to hear that. Check out the steps under “Downloads unexpectedly removed” at https://t.co/38J7tFlIBF. They should help with this /QI,playlist_library,offline_download,AUTO_HANDLE,AUTO_HANDLE,Saved songs/downloads accidentally removed
