golden_id,customer_msg,auto_intent,human_intent,auto_escalation,human_escalation,platform,has_escalation_signal,confidence_note,reviewer_notes
g0001,"@116380 can you please add General Public, most especially their song Tenderness, to SpotifyAU? My 80s mix isn’t complete without it 🤧",playback_error,,AUTO_HANDLE,,unknown,False,,
g0002,"@SpotifyCares I just wanna how may i do to add a buttom or link to my playlist. So, I attach a screenshot to let you see what i'm talking about, thank you. https://t.co/tRCrEXh0oS",playlist_library,,AUTO_HANDLE,,unknown,False,,
g0003,"@SpotifyCares cant login, says country code doesnt match account. But its the same. In Canada,",account_login,,ESCALATE,,unknown,False,,
g0004,@115888 it’s almost 2018.  When will you “allow” an Apple Watch app?  Its like you WANT us to quit and go to Apple Music. Pls get with it.,playback_error,,AUTO_HANDLE,,unknown,False,,
g0005,"@SpotifyCares 
""Click to install new update""..... *spotify closes*...... 
now won't open or install.  
Not even after complete removal &amp; attempted web download. 
Suggestions? 
Windows 7 app https://t.co/tlqorQWLP1",offline_download,,AUTO_HANDLE,,web,False,,
g0006,"@115888 Love you guys, but did you really have to undownload all my music randomly? And then immediately hit me with an ad asking me to renew for a year haha? Bad timing on your part.",playlist_library,,AUTO_HANDLE,,unknown,False,,
g0007,"@SpotifyCares Thanks for response! The app says that music is playing, but no sound comes out. I have to restart to make it work again.",playback_error,,AUTO_HANDLE,,unknown,False,,
g0008,@SpotifyCares Version 8.4.29.289 on Android Oreo 8.0.0,device_platform,,AUTO_HANDLE,,android,False,,
g0009,"@spotifycares why do this always appear ""Oops, seems the credit on your prepaid card is insufficient. Please try again or use another payment method."" Even if I have PhP 130 balance on my SIM, I'm using mobile payment. Please respond immediately, thanks!",billing_charge,,AUTO_HANDLE,,unknown,False,,
g0010,"My first full month of @115888 premium and all my downloaded music has gone.

You're not selling this well so far.",premium_subscription,,AUTO_HANDLE,,unknown,False,MULTI-KEYWORD — possible ambiguity,
g0011,.@SpotifyCares Please could you help? None of my music will play and it’s set to “offline” I listen to my music on the go all the time and have never had this problem. It’s just stopped becoming available. Has my music just...un-downloaded itself? 😞,offline_download,,AUTO_HANDLE,,unknown,False,,
g0012,@SpotifyCares so I have a premium student account and Hulu is saying it's having trouble authorizing my Spotify account?,premium_subscription,,AUTO_HANDLE,,unknown,False,MULTI-KEYWORD — possible ambiguity,
g0013,"@SpotifyCares No streaming with Sonos possible, are you aware?",device_platform,,AUTO_HANDLE,,sonos,False,,
g0014,@SpotifyCares From here it the songs never changes after pressing play all or it will restart the song when im in game. What can be done about this. I can't be more clear than this. https://t.co/HurYjuUd0M,playback_error,,AUTO_HANDLE,,unknown,False,,
g0015,"@126761 But unfortunately it doesn't work for me. It says ""Sorry, couldn't find that"". Maybe it's not available worldwide. please could you fix it? I wanna listen to this interview",content_unavailable,,AUTO_HANDLE,,unknown,False,,
g0016,@SpotifyCares I was listening to a particular mix already established and then all of a sudden it disappeared. Super frustrating.,playlist_library,,AUTO_HANDLE,,unknown,False,,
g0017,@SpotifyCares So i was updating my iPhone when you responded and I guess that’s what it was. It was 1 version behind. I am so sorry for wasting your time!!,device_platform,,AUTO_HANDLE,,iphone,False,,
