example_id,customer_message,human_intent,human_escalation,label_source,human_verified,auto_intent,auto_escalation,platform,has_escalation_signal,brand_response,agent_ts,convo_id,notes
g0001,"@116380 can you please add General Public, most especially their song Tenderness, to SpotifyAU? My 80s mix isn’t complete without it 🤧",content_unavailable,AUTO_HANDLE,human_reviewed,True,playback_error,AUTO_HANDLE,unknown,False,,,,Song unavailable on Spotify AU catalog; content unavailable
g0002,"@SpotifyCares I just wanna how may i do to add a buttom or link to my playlist. So, I attach a screenshot to let you see what i'm talking about, thank you. https://t.co/tRCrEXh0oS",playlist_library,AUTO_HANDLE,human_reviewed,True,playlist_library,AUTO_HANDLE,unknown,False,,,,Question on embedding playlist link or button; playlist/library feature assistance
g0003,"@SpotifyCares cant login, says country code doesnt match account. But its the same. In Canada,",account_login,ESCALATE,human_reviewed,True,account_login,ESCALATE,unknown,False,,,,Cannot log in due to country-code/account mismatch; account-specific details are requested via DM
g0004,@115888 it’s almost 2018.  When will you “allow” an Apple Watch app?  Its like you WANT us to quit and go to Apple Music. Pls get with it.,device_platform,AUTO_HANDLE,human_reviewed,True,playback_error,AUTO_HANDLE,unknown,False,,,,Apple Watch platform support/feature request
g0005,"@SpotifyCares 
""Click to install new update""..... *spotify closes*...... 
now won't open or install.  
Not even after complete removal &amp; attempted web download. 
Suggestions? 
Windows 7 app https://t.co/tlqorQWLP1",app_crash_bug,AUTO_HANDLE,human_reviewed,True,offline_download,AUTO_HANDLE,web,False,,,,Spotify closes and will not open/install on Windows 7
g0006,"@115888 Love you guys, but did you really have to undownload all my music randomly? And then immediately hit me with an ad asking me to renew for a year haha? Bad timing on your part.",offline_download,AUTO_HANDLE,human_reviewed,True,playlist_library,AUTO_HANDLE,unknown,False,,,,"Downloaded music was unexpectedly removed; matches downloads unexpectedly removed, with Premium complaint secondary"
g0007,"@SpotifyCares Thanks for response! The app says that music is playing, but no sound comes out. I have to restart to make it work again.",playback_error,AUTO_HANDLE,human_reviewed,True,playback_error,AUTO_HANDLE,unknown,False,,,,Music shows as playing but produces no sound and requires restart; playback issue
g0008,@SpotifyCares Version 8.4.29.289 on Android Oreo 8.0.0,device_platform,AUTO_HANDLE,human_reviewed,True,device_platform,AUTO_HANDLE,android,False,,,,Android and app version information provided; device/platform context
g0009,"@spotifycares why do this always appear ""Oops, seems the credit on your prepaid card is insufficient. Please try again or use another payment method."" Even if I have PhP 130 balance on my SIM, I'm using mobile payment. Please respond immediately, thanks!",billing_charge,ESCALATE,human_reviewed,True,billing_charge,AUTO_HANDLE,unknown,False,,,,Payment method is being rejected despite available balance; account/payment-specific investigation is required
g0010,"My first full month of @115888 premium and all my downloaded music has gone.

You're not selling this well so far.",offline_download,AUTO_HANDLE,human_reviewed,True,premium_subscription,AUTO_HANDLE,unknown,False,,,,Downloaded music disappeared; directly matches downloads unexpectedly removed
g0011,.@SpotifyCares Please could you help? None of my music will play and it’s set to “offline” I listen to my music on the go all the time and have never had this problem. It’s just stopped becoming available. Has my music just...un-downloaded itself? 😞,offline_download,AUTO_HANDLE,human_reviewed,True,offline_download,AUTO_HANDLE,unknown,False,,,,Offline music became unavailable/possibly undownloaded; matches download-removal troubleshooting
g0012,@SpotifyCares so I have a premium student account and Hulu is saying it's having trouble authorizing my Spotify account?,premium_subscription,ESCALATE,human_reviewed,True,premium_subscription,AUTO_HANDLE,unknown,False,,,,Premium Student account cannot authorize with Hulu; account-specific subscription/bundle issue requiring investigation
g0013,"@SpotifyCares No streaming with Sonos possible, are you aware?",device_platform,AUTO_HANDLE,human_reviewed,True,device_platform,AUTO_HANDLE,sonos,False,,,,Streaming to Sonos speaker unavailable; device/platform compatibility
g0014,@SpotifyCares From here it the songs never changes after pressing play all or it will restart the song when im in game. What can be done about this. I can't be more clear than this. https://t.co/HurYjuUd0M,playback_error,AUTO_HANDLE,human_reviewed,True,playback_error,AUTO_HANDLE,unknown,False,,,,Songs restarting during gaming sessions; audio playback issue
g0015,"@126761 But unfortunately it doesn't work for me. It says ""Sorry, couldn't find that"". Maybe it's not available worldwide. please could you fix it? I wanna listen to this interview",content_unavailable,AUTO_HANDLE,human_reviewed,True,content_unavailable,AUTO_HANDLE,unknown,False,,,,Specific interview cannot be found/available in the user's location; content availability issue
g0016,@SpotifyCares I was listening to a particular mix already established and then all of a sudden it disappeared. Super frustrating.,playlist_library,AUTO_HANDLE,human_reviewed,True,playlist_library,AUTO_HANDLE,unknown,False,,,,Previously established mix disappeared; playlist/library content issue with known product limitation
g0017,@SpotifyCares So i was updating my iPhone when you responded and I guess that’s what it was. It was 1 version behind. I am so sorry for wasting your time!!,device_platform,AUTO_HANDLE,human_reviewed,True,device_platform,AUTO_HANDLE,iphone,False,,,,Issue was resolved by updating the iPhone; device/software version issue
g0018,"@117153 hi i have sign up under premium but cant download anything, it require me to re-do it again pls help to check :)",offline_download,ESCALATE,human_reviewed,True,premium_subscription,AUTO_HANDLE,unknown,False,,,,Premium account cannot download and repeatedly requests setup; account-specific Premium/download access issue requires investigation
g0019,"@117153 Hi there. I'm being charged for Premium Spotify, but my account is not showing anything so i can't cancel. I tried my other emails and they're not showing any Spotify associated with them. My account is __email__",billing_charge,ESCALATE,human_reviewed,True,billing_charge,ESCALATE,unknown,False,,,,Being charged for Premium but account cannot locate the subscription or cancel it; billing/account investigation required
g0020,@SpotifyCares I updated my payment method and it took the $4.99 out of my bank account but my premium still isn't working..,billing_charge,ESCALATE,human_reviewed,True,billing_charge,AUTO_HANDLE,unknown,False,,,,Payment was successfully taken but Premium is still inactive; payment/subscription state requires account investigation
g0021,"@SpotifyCares have been using the free version for a while with no problems, soon as I pay for family premium Spotify stops every couple of songs. What's going on?",playback_error,AUTO_HANDLE,human_reviewed,True,premium_subscription,AUTO_HANDLE,unknown,False,,,,Playback stops every couple of songs; premium context is secondary
