example_id,customer_message,original_intent,kiro_intent,original_escalation,kiro_escalation,review_reason,human_intent,human_escalation,reviewed
g0004,@115888 it’s almost 2018.  When will you “allow” an Apple Watch app?  Its like you WANT us to quit and go to Apple Music. Pls get with it.,playback_error,device_platform,AUTO_HANDLE,AUTO_HANDLE,intent_disagrees_with_auto,,,
g0005,"@SpotifyCares 
""Click to install new update""..... *spotify closes*...... 
now won't open or install.  
Not even after complete removal &amp; attempted web download. 
Suggestions? 
Windows 7 app https://t.co/tlqorQWLP1",offline_download,app_crash_bug,AUTO_HANDLE,AUTO_HANDLE,intent_disagrees_with_auto,,,
g0021,"@SpotifyCares have been using the free version for a while with no problems, soon as I pay for family premium Spotify stops every couple of songs. What's going on?",premium_subscription,billing_charge,AUTO_HANDLE,AUTO_HANDLE,intent_disagrees_with_auto,,,
g0035,Someone hacked my Spotify account of 5+ years and replaced all my saved songs with Dutch grime and xxxtentacion songs...uhmmm help? @115888 @SpotifyCares,offline_download,account_login,ESCALATE,ESCALATE,intent_disagrees_with_auto,,,
g0041,Someone hacked my Spotify and deleted all of my playlists... why would you do that to a person,playlist_library,account_login,ESCALATE,ESCALATE,intent_disagrees_with_auto,,,
g0045,@SpotifyCares foreign speakers are showing up on my list of Available Devices on my Android Phone. Looked into it (https://t.co/ZKYj4SRsNb) and seems a common hack people do though not clear how to fix it. Please help,device_platform,account_login,ESCALATE,ESCALATE,intent_disagrees_with_auto,,,
g0081,@115888 I don’t pay every month so you can restrict my music listening. Am I supposed to bring my Mac in the car for music? Nah fam. Get mobile Spotify working again. https://t.co/E3kJlTxeYw,playlist_library,billing_charge,AUTO_HANDLE,AUTO_HANDLE,intent_disagrees_with_auto,,,
g0085,@SpotifyCares someone has hacked my spotify account. I refuse to pay for someone else to listen to music. It is very unprofessional that you do not provide a contact number. I had to make a Twitter account just to complain. Please contact me immediately and fix the problem.,playback_error,billing_charge,ESCALATE,ESCALATE,intent_disagrees_with_auto,,,
g0086,"@SpotifyCares It’s iOS, iPhone 6s. v8.4.28.1104. I’m sure it’s working as intended but just a comment about how the queue works :)",device_platform,playlist_library,AUTO_HANDLE,AUTO_HANDLE,intent_disagrees_with_auto,,,
g0087,@115888 why is it that when I click to watch the ad to get 30 minutes of ad-free music do I only get 18 and a half? Your ads tell me that I will get 30 minutes. If thats not the case then advertise for 18 and a half minutes of ad-free music instead of 30,playback_error,device_platform,AUTO_HANDLE,AUTO_HANDLE,intent_disagrees_with_auto,,,
g0095,"@SpotifyCares No it did nothing 😥 I also tried uninstalling, wiping the cache of the phone and reinstalling but it still crashes",offline_download,app_crash_bug,AUTO_HANDLE,AUTO_HANDLE,intent_disagrees_with_auto,,,
g0097,"@SpotifyCares I mean, yeah, it usually does. The problem is that I'm trying to listen to a continuous playlist or album uninterrupted. It fixes the error but doesn't solve the problem.",app_crash_bug,playlist_library,AUTO_HANDLE,AUTO_HANDLE,intent_disagrees_with_auto,,,
g0101,"@SpotifyCares iPad mini2, iPhone SE, both iOS 11.1.2 - but this issue is dated back before iOS 11 (hoped the updates will do something about it...) and it occures on both saved and streamed songs (either on WiFi or mobile). Desktop is fine.",playlist_library,device_platform,AUTO_HANDLE,AUTO_HANDLE,intent_disagrees_with_auto,,,
g0119,@SpotifyCares my Spotify premium got hacked — got a notification that email address was changed. Sent u guys an email and u didn’t reply. Please rectify - I don’t want to cancel my subscription,premium_subscription,account_login,ESCALATE,ESCALATE,intent_disagrees_with_auto,,,
g0135,"@SpotifyCares I have the family plan and a hacker has hacked me twice this past month. I changed my password, but this time they changed my log in info. I cant do a thing. I NEED HELP   https://t.co/8t2QYN8LtT   for id proof",account_login,billing_charge,ESCALATE,ESCALATE,intent_disagrees_with_auto,,,
g0140,@SpotifyCares I wanted you to know that I don’t pay for music.,playback_error,billing_charge,AUTO_HANDLE,AUTO_HANDLE,intent_disagrees_with_auto,,,
g0149,"@115888 not that it wasnt my own damn fault but this is the 5th time this semester ive undownloaded my whole saved songs list accidentally... some kind of prompt along the lines of ""hey you sure you wanna delete all 967 songs rn?"" would be appreciated🙃",offline_download,playlist_library,AUTO_HANDLE,AUTO_HANDLE,intent_disagrees_with_auto,,,
g0153,@SpotifyCares I have my phone but it isn't ideal when listening to music at home. My fancy but ancient speakers don't work with it. Also I used to like if I had people round we could all add to the play queue. Phone isn't the same,playback_error,playlist_library,AUTO_HANDLE,AUTO_HANDLE,intent_disagrees_with_auto,,,
g0154,@SpotifyCares hi Spotify you've sent this link in an email to me to contact you so I'd thought I'd drop you a line. My premium account has been hacked and your customer service is nothing short of atrocious. I hope your night is going better than mine.,premium_subscription,account_login,ESCALATE,ESCALATE,intent_disagrees_with_auto,,,
g0158,"@115888 can’t pay because my visa was stolen and doesn’t work, having new sent to Thailand but now trapped in Bali due to volcano pls don’t cancel my premium 😭😭 blame the volcano and thieves",premium_subscription,billing_charge,ESCALATE,ESCALATE,intent_disagrees_with_auto,,,
g0162,"Ok so that’s twice in the last week my library has deleted itself for no apparent reason, what’s going on pls @115888",playlist_library,billing_charge,AUTO_HANDLE,AUTO_HANDLE,intent_disagrees_with_auto,,,
g0172,@115888 App won't load on my Galaxy S8+. Bit naughty considering I pay for premium.,premium_subscription,billing_charge,AUTO_HANDLE,AUTO_HANDLE,intent_disagrees_with_auto,,,
g0192,"@SpotifyCares hey, I pay for spotify premium and every other week, sometimes twice a week all my music undownloads.",premium_subscription,billing_charge,AUTO_HANDLE,AUTO_HANDLE,intent_disagrees_with_auto,,,
g0193,"@SpotifyCares Why is my account suddenly paused  just a few days after i redeemed 3 months gift card? I can even see in my account details i redeemed that card, very convenient if you want to play music for your guests",playback_error,premium_subscription,AUTO_HANDLE,AUTO_HANDLE,intent_disagrees_with_auto,,,
g0003,"@SpotifyCares cant login, says country code doesnt match account. But its the same. In Canada,",account_login,account_login,ESCALATE,AUTO_HANDLE,escalation_disagrees_with_auto,,,
g0028,@SpotifyCares If I have a sub that ends in a month but i join my households fam plan do i still get charged for my last month of my previous subscription???,billing_charge,billing_charge,AUTO_HANDLE,ESCALATE,escalation_disagrees_with_auto,,,
g0037,"@115940 @115888 @hulu_support I should also mention that after this bundle was first launched, my payment plan apparently shifted to a normal $10 fee. I'm not sure when or why this happened but I had to manually switch it.",billing_charge,billing_charge,ESCALATE,AUTO_HANDLE,escalation_disagrees_with_auto,,,
g0053,@SpotifyCares you guys charged me for a students account which I hadnt finished signing up. I cancelled and exoted the screen in the middle of me signing up and I STILL GOT CHARGED. EXPLAIN THIS. https://t.co/nHmMfDaM1D,billing_charge,billing_charge,AUTO_HANDLE,ESCALATE,escalation_disagrees_with_auto,,,
g0112,@115888 Can you please update us on how long these problems will take to fix? I still can't log in due to them :/,account_login,account_login,ESCALATE,AUTO_HANDLE,escalation_disagrees_with_auto,,,
